DestinationName,City,City2,State,Description,
Pailgaon Zaminder Bari,Sunamganj,Sunamganj,Sylhet,"The Pailgaon zamindar mansion is located on the northern side of the Kalni river, on nearly 5.5 acres of land. Though there were several other structures including a temple in the compound, the remains of the main building is still standing there. The majestic mansion of the Pailgaon Chowdhurys has been declared a ‘Protected Archaeological Site’ by the government.",https://lovesunamganj.com/wp-content/uploads/2021/05/unnamed-2.jpg
Khadimnagar National Park,Sylhet,Sylhet,Sylhet,"Khadimnagar National Park is a protected area located in Sylhet, Bangladesh. It covers an area of 678 acres and is home to various species of flora and fauna. The park is known for its beautiful landscape, including hills, forests, and ponds, and serves as a popular destination for eco-tourism and wildlife observation. Visitors can also enjoy activities such as hiking, camping, and bird-watching within the park.",https://adarbepari.com/wp-content/uploads/2016/09/khadimnagar-rainforest-sylhet.jpg
Shrine of Hazrat Shahporan (Rh),Sylhet,Sylhet,Sylhet,"The Shrine of Hazrat Shahporan (Rh) is a sacred site located in Sylhet, known for its historical and religious significance. It is dedicated to the Sufi saint Hazrat Shahporan (Rh), who is believed to have miraculous powers and is revered by many Muslims. The shrine is a popular destination for pilgrims and visitors seeking blessings and spiritual guidance. It features a mosque, a mausoleum, and various other structures that have been built over the years to honor the saint. The site is known for its peaceful and serene atmosphere, and visitors can enjoy beautiful views of the surrounding landscape.",https://i.ytimg.com/vi/7pCu1tL1wr4/maxresdefault.jpg
Lawachara Bational Park ,Sreemangal,Moulvibazar,Sylhet,"Lawachara National Park is a lush green tropical forest located in Sylhet, Bangladesh. It is home to a diverse range of flora and fauna, including numerous species of birds, monkeys, and reptiles. The park is also famous for its trekking trails, where visitors can explore the natural beauty of the forest, including the stunning waterfalls and wildlife. Overall, Lawachara National Park is a must-visit destination for nature lovers and adventure seekers.",https://live.staticflickr.com/8883/18085331279_0790ea55e1_b.jpg
Madhabpur Lake,Sreemangal,Moulvibazar,Sylhet,"Madhabpur Lake is a beautiful natural lake situated in the Madhabpur tea estate of Sylhet division in Bangladesh. The lake is surrounded by lush green tea gardens, hills, and forests, making it an ideal place for nature lovers. The clear blue water of the lake and the peaceful atmosphere offer a serene and tranquil experience for visitors. The lake is also home to a variety of fishes, adding to the natural beauty of the place. Overall, Madhabpur Lake is a must-visit destination for anyone looking for a peaceful escape amidst nature.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/6c/82/2f/madhabpur-lake-2.jpg?w=1200&h=-1&s=1
Madhabkunda Waterfall,Sreemangal,Moulvibazar,Sylhet,"Madhabkunda Waterfall is a beautiful waterfall located in the district of Sylhet in Bangladesh and is the second largest waterfall in Bangladesh right after the HumHum waterfall. It is surrounded by lush green hills and forests, making it a popular destination for nature enthusiasts. The water cascades down from a height of 200 feet and creates a stunning view. Visitors can also take a dip in the cool water of the stream. The area around the waterfall is also home to a variety of flora and fauna, including monkeys and different species of birds.",https://www.travelmate.com.bd/wp-content/uploads/2022/02/Madhabkunda-Waterfall.jpg
Humhum Waterfall,Sreemangal,Moulvibazar,Sylhet,"Humhum Waterfall is a stunning natural wonder located in Sylhet, Bangladesh. HumHum is the largest waterfal inside Bangladesh.The waterfall features multiple layers of cascading water that flow down the rocky terrain, creating a mesmerizing sight. The surrounding lush green forest adds to the overall beauty of the area, making it a popular tourist destination. Visitors can enjoy a refreshing swim in the cool waters of the falls and take a peaceful walk in the nearby nature trails. ",https://live.staticflickr.com/3777/12026797124_b8257f6d7c_b.jpg
Deanston Cemetry ,Sreemangal,Moulvibazar,Sylhet,"This Christian Cemetry, located in about 15 km from the town of Srimangal inside the James Finlay Tea Company's Denston Tea Garden, contains a little bit of history of the famous James Finlay Tea Company and the tea estates in general.Around 50 British citizens including nine children are buried in the cemetery which has been under the care of James Finlay Tea Company for more than 100 years.",https://www.redtimes.com.bd/wp-content/uploads/2023/03/deanston-cemetry-e1678819714864.jpg
Sreemangal Tea resort & Museum ,Sreemangal,Moulvibazar,Sylhet,"Sreemangal Tea Resort & Museum is a picturesque destination located in Sylhet, Bangladesh that offers visitors an immersive experience into the world of tea production. With stunning views of lush tea gardens, this resort provides a serene atmosphere for relaxation and exploration. The museum showcases the history of tea cultivation in Bangladesh and offers a glimpse into the intricate process of tea production. Visitors can also take guided tours of the gardens and witness the tea-making process firsthand. Overall, Sreemangal Tea Resort & Museum is a perfect destination for tea lovers and nature enthusiasts.",https://paibye.com/wp-content/uploads/2021/03/Tea-Resort-Museum2.jpg
Dolura,Sunamganj,Sunamganj,Sylhet,"Dolura is a small village located in the Sylhet division of Bangladesh. It is known for its scenic beauty and lush greenery, with many tea gardens and hills surrounding the area. The residents of Dolura are mostly farmers, and the village has a peaceful and quiet atmosphere. The village is also known for its traditional handicrafts and weaving industry. Overall, Dolura offers a serene and tranquil getaway for those who appreciate nature and rural landscapes.",https://www.visitsylhet.com/images/places/dolura/slide/dolura.jpg
Hason Raja Museum ,Sunamganj,Sunamganj,Sylhet,"The Hason Raja Museum is a museum in Sylhet, Bangladesh, dedicated to the life and works of the Bengali poet Hason Raja. The museum features exhibits of the poet's personal belongings, manuscripts, and photographs, as well as a collection of traditional musical instruments. Visitors can also enjoy cultural performances and workshops on Bengali music and poetry.",https://today.thefinancialexpress.com.bd/uploads/1608649222.jpg
Kandar Haor,Sunamganj,Sunamganj,Sylhet,"Kandar Haor is a wetland area located in the Sylhet division of Bangladesh. It is known for its beautiful scenery and rich biodiversity, with over 200 species of fish and numerous species of birds and mammals. The haor is also an important source of livelihood for local communities who engage in fishing and agriculture. However, Kandar Haor is currently facing environmental threats such as deforestation and climate change, putting its ecological and economic sustainability at risk.",https://www.touristplaces.com.bd/images/pp/5/p115237.jpg
Shrine of Hazrat Shahjalal (Rh),Sylhet ,Sylhet,Sylhet,"The Shrine of Hazrat Shahjalal (Rh) is a holy site located in Sylhet. It is dedicated to the Muslim Sufi saint Shah Jalal(Rh), who is believed to have brought Islam to the region. The shrine is an important pilgrimage site for Muslims, and attracts visitors from all over the world. It features a mosque, a mausoleum, and a museum showcasing the life and teachings of the saint. The shrine is known for its beautiful architecture, intricate wood carvings, and colorful decorations.",https://www.daily-sun.com/assets/news_images/2017/10/24/Daily-sun-2017-10-24-04-25.jpg
Keane Bridge,Sylhet ,Sylhet,Sylhet,"Keane Bridge is a historical landmark in Sylhet, Bangladesh that connects the city center to the eastern part of the city. It was built during the British colonial era in the early 1900s and is now a popular tourist attraction. The bridge spans over the Surma River and offers a beautiful view of the surrounding areas which include the Surma River and Ali Amjad’s Clock..",https://upload.wikimedia.org/wikipedia/commons/7/72/Keane_Bridge_6426.jpg
Ali Amjad Clock Tower,Sylhet ,Sylhet,Sylhet,"The Ali Amjad Clock Tower is a prominent landmark located in Sylhet. It is a four-faced tower that is 20 meters high and is situated in the heart of the city. The clock tower is named after Ali Amjad, a prominent businessman who donated funds for its construction. It serves as a popular meeting point for locals and tourists alike and offers a stunning view of the surrounding area.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Ali_Amjad%27s_Clock_%281164%29.jpg/1024px-Ali_Amjad%27s_Clock_%281164%29.jpg
Shahi Eidgah,Sylhet ,Sylhet,Sylhet,"Sylhet Shahi Eidgah or simply Shahi Eidgah, is an open prayer hall situated in Sylhet, north-east Bangladesh, three kilometers to the north-east of the guru nanak international circuit house, meant for the Eid prayers. It was built during the rule of Mughal Sultan Sarfaraz Khan. More than 100,000 people can perform prayer at same time in this eidgah. As well as for prayer uses and Islamic congregations, the eidgah has historically been a place to give speeches and host rallies by the likes of Mohandas Gandhi and Muhammad Ali Jinnah. There have also been battles taken place there such as the Muharram Rebellion.",https://vromonguide.com/wp-content/uploads/Sylhet-Shahi-Eidgah.jpg
Tilagar Eco park,Sylhet ,Sylhet,Sylhet,"Tilagor Eco Park, located in Tilagor area of Sylhet district, is the third Eco-park of Bangladesh. This Eco Park has been developed with some hillocks. There is a stream that has passed through the small hills of the Eco-park. hillocks. These hills and hillocks are abounded with many trees which are naturally grown. There are a number of fruit trees as well as the combinations of biodiversity. There are picnic corners available here and Children's Corners for the child. In this evergreen equatorial region, there is also a tea garden namely Lakkhachora Tea Garden and Chevron Gas Field adjacent to the Eco Park.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/01/ed/f1/tilagor-eco-park-sylhet.jpg?w=1200&h=-1&s=1
Museum of Rajas,Sylhet ,Sylhet,Sylhet,"The Museum of Rajas is a historical museum located in Sylhet, Bangladesh, showcasing the rich cultural heritage of the region. The museum houses a vast collection of artifacts and relics, including pottery, coins, manuscripts, and weapons, providing a glimpse into the ancient history and traditions of the area. The building itself is a beautifully designed palace that once belonged to a local ruler, adding to the overall charm and allure of the museum.",https://lh3.googleusercontent.com/p/AF1QipMOqj4XFrPThv4SB7SAyqPPaYNeMxKN9eCmBVZW=s1360-w1360-h1020
Osmani Museum ,Sylhet ,Sylhet,Sylhet,"The Osmani Museum in Sylhet is a historical museum that showcases the life and achievements of General Muhammad Ataul Gani Osmani, who played a crucial role in the Bangladesh Liberation War. The museum has a rich collection of Osmani's personal belongings, rare photographs, and documents related to the war. It also houses a library and an audiovisual room where visitors can learn more about the history of Bangladesh. The museum is a must-visit for anyone interested in learning about the country's struggle for independence.",https://www.bangladeshtourism.gov.bd/public/entity/2071382154.jpg
Malnicherra Tea Garden,Sylhet ,Sylhet,Sylhet,Malnicherra Tea Garden is a tea garden located in the Sylhet district of Bangladesh. It is known for its picturesque beauty and well-maintained tea plantations. The garden produces high-quality tea and attracts a large number of tourists every year.,https://upload.wikimedia.org/wikipedia/commons/9/92/Tea_garden_in_Sylhet_%2840349163252%29.jpg
Lakkatura tea garden,Sylhet ,Sylhet,Sylhet,"Lakkatura tea garden is a beautiful tea estate located in Sylhet, Bangladesh. It is known for its lush greenery and scenic beauty that attracts visitors from all over the world. The tea garden offers a serene environment and a unique experience to its visitors.",https://upload.wikimedia.org/wikipedia/commons/e/e0/Lakkatura_Tea_Garden_%28Sylhet%29_in_2021.14.jpg
Shahjalal University of Science and Technology(SUST),Sylhet ,Sylhet,Sylhet,"Shahjalal University of Science and Technology is a public research university located in Sylhet, Bangladesh. It was established in 1987 and is known for its focus on science, engineering, and technology education. The campus spans over 320 acres and has grown to become a tourist attraction with various spots like Swizerland and Newzealand Tila along with the picturesque Kilo road.",https://photogenicsylhet.files.wordpress.com/2020/03/img_2034.jpg?w=1024
Tanguar Haor,Sunamganj,Sunamganj,Sylhet,"Tanguar Haor is a large wetland area located in the north-eastern part of Bangladesh, specifically in the Sunamganj district of Sylhet. It is one of the largest wetlands in the country and is known for its diverse flora and fauna. The area is home to a wide range of water birds, including several endangered species, making it an important site for birdwatching. Tanguar Haor is also an important source of fish for local communities and is known for its unique traditions and cultures.",https://chokkor.com/wp-content/uploads/2018/10/Tanguar-Haor-1-960x630.jpg
Jadukata River,Sunamganj,Sunamganj,Sylhet,"Jadukata River is a famous river in Sylhet, Bangladesh known for its crystal-clear water and scenic beauty. The river flows through the Keane Bridge and is surrounded by lush green forests and hills. It is a popular destination for fishing, picnics, and boat rides. The river is also believed to have many medicinal properties and is traditionally used by the locals for bathing and washing clothes.",https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/31/19/e1/jadukata-river.jpg
Barek Tila,Sunamganj,Sunamganj,Sylhet,"Barek Tila is a village located in the Sylhet district of Bangladesh. It is known for its scenic beauty and rich cultural heritage. The village is surrounded by lush green hills and tea gardens, which make it a popular destination for tourists. The main attraction of Barek Tila is the Sree Sree Gouranga Mandir, a temple dedicated to Lord Krishna. The temple is a major pilgrimage site for devotees of the Hare Krishna movement. Overall, Barek Tila is a peaceful and serene place, ideal for those seeking a break from the hustle and bustle of city life.",https://vromonpipasu.com/wp-content/uploads/2023/02/%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%95-%E0%A6%9F%E0%A6%BF%E0%A6%B2%E0%A6%BE-Barekka-Tila.webp
Limestone Lake ,Sunamganj,Sunamganj,Sylhet,"Limestone Lake is a beautiful lake located in Sylhet, Bangladesh, surrounded by lush green hills and limestone rocks. The crystal clear water of the lake is perfect for swimming and boating. The scenery around the lake is breathtaking, making it a popular tourist destination.",https://www.lrbtravelteam.com/wp-content/uploads/2020/11/Tekerghat-Or-Limestone-Lake.png
Shankar Pasha Shahi Mosque,Habiganj,Habiganj,Sylhet,"The Shankar Pasha Shahi Mosque is a historical mosque located in Sylhet, Bangladesh. It was built during the Mughal era in the early 18th century by the order of the local ruler, Sikandar Shah. The mosque is renowned for its unique architecture which combines Mughal and Bengali styles. It is one of the largest mosques in Sylhet and is considered a significant cultural heritage site of Bangladesh.",https://i.pinimg.com/736x/3f/28/e3/3f28e3307dd2a575c5f8bdc1b5fbfe00.jpg
Niladri Lake,Sunamganj,Sunamganj,Sylhet,"Niladri Lake is a beautiful artificial lake located in Sylhet, Bangladesh. It is surrounded by lush greenery and serves as a popular spot for picnics and family outings. The lake is also home to various species of fish, making it a popular destination for fishing enthusiasts. Visitors can take a boat ride on the lake and enjoy the serene surroundings. Overall, Niladri Lake is a must-visit destination for anyone traveling to Sylhet.",https://cosmosgroup.sgp1.cdn.digitaloceanspaces.com/news/details/2162882_niladri-lake-sunamganj-Bangladesh.jpg
