DestinationID,DestinationName,country_id,state_id,CityID,Description,rating,rating_count,estimated_cost,estimated_time,lat,lng,img_url
11,Lokkhonchora,1,1,1,"Lokkhonchora,  a small village located almost at the border of the Sylhet division of Bangladesh, is known for its lush green natural beauty, rice fields, and tea gardens. The village is surrounded by hills and forests, providing a serene and peaceful environment for visitors. It is an ideal place for nature lovers who want to enjoy the beauty of the countryside.",4.5,443,19.6,4.8,24.88357,91.92256,https://picsum.photos/200/300?image=11
12,Jugirkandi Mayabon,1,1,1,"Jugirkandi Mayabon is a water forest in Gowainghat Upazila of Sylhet. Located at Jugirkandi Haor in Alirgaon Union of Gowainghat Upazila, this picturesque forest is locally named Mayabon. The idea is that it is the largest water forest in Bangladesh. Spread over an area of ​​about one thousand acres, this forest attracts the attention of tourists by spreading the magic of its form. There is a huge jungle of rows and rows of trees in the deep water around Mayaban. The dense nature of this water forest of Jugirkandi takes the mind to the unknown land of fairy tales. Where you enter, the mind does not want to come back.",3.68,329,20.0,2.1,24.93146,91.92352,https://picsum.photos/200/300?image=12
13,Lalakhal,1,1,1,"Lalakhal is a popular tourist destination located in Sylhet, Bangladesh. It is a serene river surrounded by hills and greenery, making it an ideal spot for nature lovers. The water is crystal clear, and visitors can enjoy a boat ride or swim in the river. Lalakhal is also known for its vibrant tea gardens and is a must-visit for anyone traveling to Sylhet.",3.19,944,15.0,4.2,24.94266,91.89153,https://picsum.photos/200/300?image=13
14,Rangpani,1,1,1,"Rangpani, this tourist place full of natural beauty is located in Mokampunji area of ​​Jaintapur upazila, about 54 km from Sylhet city. The word Sri means beautiful. The area is so full of natural beauty that the name of the area is Sreepur and it is in Sreepur that the border river Rangpani is located. It originates from clear water from Ranghong Kong Falls in Jainta Hills, Meghalaya. This place although brimming with tourism potential, has remained largely hidden from the public eye due to being neglected for years",3.81,443,10.5,2.9,24.87403,91.87994,https://picsum.photos/200/300?image=14
15,Dibir Haor,1,1,1,"Dibir Haor is a wetland located in Sylhet division of Bangladesh. It is a natural depression that fills up with rainwater during monsoon season and serves as a home to various aquatic plants and animals. The haor also provides a source of livelihood for nearby communities who rely on fishing and agriculture. There are four bills in the name of Yam, Dibi, Horofkata, Kendri Bill. After the rainy season, it becomes a kingdom of water lillies and thats the best time to visit Dibir Haor.",3.12,377,16.7,3.5,24.92614,91.90359,https://picsum.photos/200/300?image=15
16,Luvachora,1,1,1,"Lovachora is a bordering area from Kanaighat Upazilla in the eastern part of Sylhet district, which is somewhat fortified from northeast to northwest by the Meghalayan ranges. It is essentially a quarry where stones and boulders are mined, besides an age-old tea garden. Flowing respectively from the south and north, the Borak and the Lova meet at one point, assume the name Surma and flow west towards Sylhet city. The shades of far-flung hills falling on the crystal clear streams of the Lova make for a heavenly sight. subject to the permission from the border patrol force BGB, tourists can even go to the source of the Lova and see the hanging bridge which connects two hills on the other side of the border.",2.9,757,11.1,2.0,24.93925,91.93818,https://picsum.photos/200/300?image=16
17,Baikka Beel,1,1,4,"Baikka Beel is a wetland sanctuary located in the Srimangal Upazila of Sylhet, Bangladesh. It is home to over 200 species of birds, including several rare and endangered species. The area is also rich in flora and fauna, with various species of fish, reptiles, and mammals inhabiting the wetlands. The serene and tranquil atmosphere of Baikka Beel is a popular attraction for tourists and birdwatchers alike.",3.85,835,28.0,0.6,24.93147,91.87873,https://picsum.photos/200/300?image=17
18,Parikunda Waterfall,1,1,4,"Parikunda Waterfall is a beautiful waterfall located in Sylhet, Bangladesh. The waterfall is surrounded by lush green forests and rocky cliffs, making it a perfect spot for nature lovers and adventure seekers. The waterfall has a height of about 60 feet and is known for its mesmerizing beauty. Visitors can enjoy swimming in the cool water of the waterfall and also explore the surrounding area. Parikunda Waterfall is a must-visit place in Sylhet for anyone who wants to experience the natural beauty of Bangladesh.",3.84,764,45.0,4.1,24.93718,91.87705,https://picsum.photos/200/300?image=18
19,Pailgaon Zaminder Bari,1,1,3,"The Pailgaon zamindar mansion is located on the northern side of the Kalni river, on nearly 5.5 acres of land. Though there were several other structures including a temple in the compound, the remains of the main building is still standing there. The majestic mansion of the Pailgaon Chowdhurys has been declared a ‘Protected Archaeological Site’ by the government.",3.86,812,43.6,4.8,24.88613,91.86158,https://picsum.photos/200/300?image=19
20,Khadimnagar National Park,1,1,1,"Khadimnagar National Park is a protected area located in Sylhet, Bangladesh. It covers an area of 678 acres and is home to various species of flora and fauna. The park is known for its beautiful landscape, including hills, forests, and ponds, and serves as a popular destination for eco-tourism and wildlife observation. Visitors can also enjoy activities such as hiking, camping, and bird-watching within the park.",4.32,716,23.5,0.5,24.85493,91.91493,https://picsum.photos/200/300?image=20
21,Shrine of Hazrat Shahporan (Rh),1,1,1,"The Shrine of Hazrat Shahporan (Rh) is a sacred site located in Sylhet, known for its historical and religious significance. It is dedicated to the Sufi saint Hazrat Shahporan (Rh), who is believed to have miraculous powers and is revered by many Muslims. The shrine is a popular destination for pilgrims and visitors seeking blessings and spiritual guidance. It features a mosque, a mausoleum, and various other structures that have been built over the years to honor the saint. The site is known for its peaceful and serene atmosphere, and visitors can enjoy beautiful views of the surrounding landscape.",4.65,486,26.2,5.0,24.86086,91.92882,https://picsum.photos/200/300?image=21
22,Lawachara Bational Park,1,1,5,"Lawachara National Park is a lush green tropical forest located in Sylhet, Bangladesh. It is home to a diverse range of flora and fauna, including numerous species of birds, monkeys, and reptiles. The park is also famous for its trekking trails, where visitors can explore the natural beauty of the forest, including the stunning waterfalls and wildlife. Overall, Lawachara National Park is a must-visit destination for nature lovers and adventure seekers.",2.77,784,44.2,4.2,24.92019,91.88696,https://picsum.photos/200/300?image=22
23,Madhabpur Lake,1,1,5,"Madhabpur Lake is a beautiful natural lake situated in the Madhabpur tea estate of Sylhet division in Bangladesh. The lake is surrounded by lush green tea gardens, hills, and forests, making it an ideal place for nature lovers. The clear blue water of the lake and the peaceful atmosphere offer a serene and tranquil experience for visitors. The lake is also home to a variety of fishes, adding to the natural beauty of the place. Overall, Madhabpur Lake is a must-visit destination for anyone looking for a peaceful escape amidst nature.",2.52,824,17.0,3.5,24.90985,91.90798,https://picsum.photos/200/300?image=23
24,Madhabkunda Waterfall,1,1,5,"Madhabkunda Waterfall is a beautiful waterfall located in the district of Sylhet in Bangladesh and is the second largest waterfall in Bangladesh right after the HumHum waterfall. It is surrounded by lush green hills and forests, making it a popular destination for nature enthusiasts. The water cascades down from a height of 200 feet and creates a stunning view. Visitors can also take a dip in the cool water of the stream. The area around the waterfall is also home to a variety of flora and fauna, including monkeys and different species of birds.",4.72,895,8.2,1.1,24.86981,91.89612,https://picsum.photos/200/300?image=24
25,Humhum Waterfall,1,1,5,"Humhum Waterfall is a stunning natural wonder located in Sylhet, Bangladesh. HumHum is the largest waterfal inside Bangladesh.The waterfall features multiple layers of cascading water that flow down the rocky terrain, creating a mesmerizing sight. The surrounding lush green forest adds to the overall beauty of the area, making it a popular tourist destination. Visitors can enjoy a refreshing swim in the cool waters of the falls and take a peaceful walk in the nearby nature trails.",2.97,929,15.3,2.6,24.93997,91.85467,https://picsum.photos/200/300?image=25
26,Deanston Cemetry,1,1,5,"This Christian Cemetry, located in about 15 km from the town of Srimangal inside the James Finlay Tea Company's Denston Tea Garden, contains a little bit of history of the famous James Finlay Tea Company and the tea estates in general.Around 50 British citizens including nine children are buried in the cemetery which has been under the care of James Finlay Tea Company for more than 100 years.",2.64,701,10.9,2.8,24.94886,91.90382,https://picsum.photos/200/300?image=26
27,Sreemangal Tea resort & Museum,1,1,5,"Sreemangal Tea Resort & Museum is a picturesque destination located in Sylhet, Bangladesh that offers visitors an immersive experience into the world of tea production. With stunning views of lush tea gardens, this resort provides a serene atmosphere for relaxation and exploration. The museum showcases the history of tea cultivation in Bangladesh and offers a glimpse into the intricate process of tea production. Visitors can also take guided tours of the gardens and witness the tea-making process firsthand. Overall, Sreemangal Tea Resort & Museum is a perfect destination for tea lovers and nature enthusiasts.",2.58,251,52.6,3.4,24.859,91.88357,https://picsum.photos/200/300?image=27
28,Dolura,1,1,3,"Dolura is a small village located in the Sylhet division of Bangladesh. It is known for its scenic beauty and lush greenery, with many tea gardens and hills surrounding the area. The residents of Dolura are mostly farmers, and the village has a peaceful and quiet atmosphere. The village is also known for its traditional handicrafts and weaving industry. Overall, Dolura offers a serene and tranquil getaway for those who appreciate nature and rural landscapes.",3.14,826,3.6,4.1,24.89414,91.90451,https://picsum.photos/200/300?image=28
29,Hason Raja Museum,1,1,3,"The Hason Raja Museum is a museum in Sylhet, Bangladesh, dedicated to the life and works of the Bengali poet Hason Raja. The museum features exhibits of the poet's personal belongings, manuscripts, and photographs, as well as a collection of traditional musical instruments. Visitors can also enjoy cultural performances and workshops on Bengali music and poetry.",2.45,962,45.2,3.6,24.92998,91.94218,https://picsum.photos/200/300?image=29
30,Kandar Haor,1,1,3,"Kandar Haor is a wetland area located in the Sylhet division of Bangladesh. It is known for its beautiful scenery and rich biodiversity, with over 200 species of fish and numerous species of birds and mammals. The haor is also an important source of livelihood for local communities who engage in fishing and agriculture. However, Kandar Haor is currently facing environmental threats such as deforestation and climate change, putting its ecological and economic sustainability at risk.",4.34,322,14.2,0.5,24.87797,91.8709,https://picsum.photos/200/300?image=30
31,Shrine of Hazrat Shahjalal (Rh),1,1,1,"The Shrine of Hazrat Shahjalal (Rh) is a holy site located in Sylhet. It is dedicated to the Muslim Sufi saint Shah Jalal(Rh), who is believed to have brought Islam to the region. The shrine is an important pilgrimage site for Muslims, and attracts visitors from all over the world. It features a mosque, a mausoleum, and a museum showcasing the life and teachings of the saint. The shrine is known for its beautiful architecture, intricate wood carvings, and colorful decorations.",4.01,259,57.0,0.6,24.90486,91.86786,https://picsum.photos/200/300?image=31
32,Keane Bridge,1,1,1,"Keane Bridge is a historical landmark in Sylhet, Bangladesh that connects the city center to the eastern part of the city. It was built during the British colonial era in the early 1900s and is now a popular tourist attraction. The bridge spans over the Surma River and offers a beautiful view of the surrounding areas which include the Surma River and Ali Amjad’s Clock..",2.39,847,28.8,5.0,24.87818,91.92967,https://picsum.photos/200/300?image=32
33,Ali Amjad Clock Tower,1,1,1,"The Ali Amjad Clock Tower is a prominent landmark located in Sylhet. It is a four-faced tower that is 20 meters high and is situated in the heart of the city. The clock tower is named after Ali Amjad, a prominent businessman who donated funds for its construction. It serves as a popular meeting point for locals and tourists alike and offers a stunning view of the surrounding area.",4.51,685,40.5,3.9,24.8874,91.93366,https://picsum.photos/200/300?image=33
34,Shahi Eidgah,1,1,1,"Sylhet Shahi Eidgah or simply Shahi Eidgah, is an open prayer hall situated in Sylhet, north-east Bangladesh, three kilometers to the north-east of the guru nanak international circuit house, meant for the Eid prayers. It was built during the rule of Mughal Sultan Sarfaraz Khan. More than 100,000 people can perform prayer at same time in this eidgah. As well as for prayer uses and Islamic congregations, the eidgah has historically been a place to give speeches and host rallies by the likes of Mohandas Gandhi and Muhammad Ali Jinnah. There have also been battles taken place there such as the Muharram Rebellion.",2.33,587,2.1,4.9,24.8815,91.89627,https://picsum.photos/200/300?image=34
35,Tilagar Eco park,1,1,1,"Tilagor Eco Park, located in Tilagor area of Sylhet district, is the third Eco-park of Bangladesh. This Eco Park has been developed with some hillocks. There is a stream that has passed through the small hills of the Eco-park. hillocks. These hills and hillocks are abounded with many trees which are naturally grown. There are a number of fruit trees as well as the combinations of biodiversity. There are picnic corners available here and Children's Corners for the child. In this evergreen equatorial region, there is also a tea garden namely Lakkhachora Tea Garden and Chevron Gas Field adjacent to the Eco Park.",3.17,209,36.9,1.2,24.91603,91.87256,https://picsum.photos/200/300?image=35
36,Museum of Rajas,1,1,1,"The Museum of Rajas is a historical museum located in Sylhet, Bangladesh, showcasing the rich cultural heritage of the region. The museum houses a vast collection of artifacts and relics, including pottery, coins, manuscripts, and weapons, providing a glimpse into the ancient history and traditions of the area. The building itself is a beautifully designed palace that once belonged to a local ruler, adding to the overall charm and allure of the museum.",3.29,664,23.6,2.2,24.89666,91.92308,https://picsum.photos/200/300?image=36
37,Osmani Museum,1,1,1,"The Osmani Museum in Sylhet is a historical museum that showcases the life and achievements of General Muhammad Ataul Gani Osmani, who played a crucial role in the Bangladesh Liberation War. The museum has a rich collection of Osmani's personal belongings, rare photographs, and documents related to the war. It also houses a library and an audiovisual room where visitors can learn more about the history of Bangladesh. The museum is a must-visit for anyone interested in learning about the country's struggle for independence.",4.67,958,30.7,4.6,24.93625,91.89933,https://picsum.photos/200/300?image=37
38,Malnicherra Tea Garden,1,1,1,Malnicherra Tea Garden is a tea garden located in the Sylhet district of Bangladesh. It is known for its picturesque beauty and well-maintained tea plantations. The garden produces high-quality tea and attracts a large number of tourists every year.,4.41,1000,31.8,1.7,24.87147,91.93706,https://picsum.photos/200/300?image=38
39,Lakkatura tea garden,1,1,1,"Lakkatura tea garden is a beautiful tea estate located in Sylhet, Bangladesh. It is known for its lush greenery and scenic beauty that attracts visitors from all over the world. The tea garden offers a serene environment and a unique experience to its visitors.",2.33,800,33.2,2.5,24.94519,91.92676,https://picsum.photos/200/300?image=39
40,Shahjalal University of Science and Technology(SUST),1,1,1,"Shahjalal University of Science and Technology is a public research university located in Sylhet, Bangladesh. It was established in 1987 and is known for its focus on science, engineering, and technology education. The campus spans over 320 acres and has grown to become a tourist attraction with various spots like Swizerland and Newzealand Tila along with the picturesque Kilo road.",4.09,476,24.2,2.0,24.94383,91.90881,https://picsum.photos/200/300?image=40
41,Tanguar Haor,1,1,3,"Tanguar Haor is a large wetland area located in the north-eastern part of Bangladesh, specifically in the Sunamganj district of Sylhet. It is one of the largest wetlands in the country and is known for its diverse flora and fauna. The area is home to a wide range of water birds, including several endangered species, making it an important site for birdwatching. Tanguar Haor is also an important source of fish for local communities and is known for its unique traditions and cultures.",4.52,240,23.1,0.9,24.89388,91.87057,https://picsum.photos/200/300?image=41
42,Jadukata River,1,1,3,"Jadukata River is a famous river in Sylhet, Bangladesh known for its crystal-clear water and scenic beauty. The river flows through the Keane Bridge and is surrounded by lush green forests and hills. It is a popular destination for fishing, picnics, and boat rides. The river is also believed to have many medicinal properties and is traditionally used by the locals for bathing and washing clothes.",2.73,914,40.9,3.0,24.92411,91.9142,https://picsum.photos/200/300?image=42
43,Barek Tila,1,1,3,"Barek Tila is a village located in the Sylhet district of Bangladesh. It is known for its scenic beauty and rich cultural heritage. The village is surrounded by lush green hills and tea gardens, which make it a popular destination for tourists. The main attraction of Barek Tila is the Sree Sree Gouranga Mandir, a temple dedicated to Lord Krishna. The temple is a major pilgrimage site for devotees of the Hare Krishna movement. Overall, Barek Tila is a peaceful and serene place, ideal for those seeking a break from the hustle and bustle of city life.",4.52,399,46.0,1.8,24.871,91.86473,https://picsum.photos/200/300?image=43
44,Limestone Lake,1,1,3,"Limestone Lake is a beautiful lake located in Sylhet, Bangladesh, surrounded by lush green hills and limestone rocks. The crystal clear water of the lake is perfect for swimming and boating. The scenery around the lake is breathtaking, making it a popular tourist destination.",3.71,509,54.6,3.4,24.89262,91.93887,https://picsum.photos/200/300?image=44
45,Shankar Pasha Shahi Mosque,1,1,2,"The Shankar Pasha Shahi Mosque is a historical mosque located in Sylhet, Bangladesh. It was built during the Mughal era in the early 18th century by the order of the local ruler, Sikandar Shah. The mosque is renowned for its unique architecture which combines Mughal and Bengali styles. It is one of the largest mosques in Sylhet and is considered a significant cultural heritage site of Bangladesh.",4.32,969,12.4,4.3,24.9345,91.94715,https://picsum.photos/200/300?image=45
46,Niladri Lake,1,1,3,"Niladri Lake is a beautiful artificial lake located in Sylhet, Bangladesh. It is surrounded by lush greenery and serves as a popular spot for picnics and family outings. The lake is also home to various species of fish, making it a popular destination for fishing enthusiasts. Visitors can take a boat ride on the lake and enjoy the serene surroundings. Overall, Niladri Lake is a must-visit destination for anyone traveling to Sylhet.",4.59,209,55.0,4.1,24.90573,91.94396,https://picsum.photos/200/300?image=46
